"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78"
"gene31" 1.090762 -0.001861 0.657829 -1.437395 0.378644 1.656324 2.717897 -1.575715 1.717345 1.119817 0.210908 -0.776574 0.992597 0.938986 -0.593838 0.864337 1.405847 0.698406 1.291084 -0.467256 1.376479 0.929153 0.864815 -1.234391 -0.496263 0.870572 1.224909 -0.148622 1.109557 1.548703 -0.011789 -0.847487 -0.443907 -1.455745 -0.323634 0.872859 -0.584371 -0.649136 0.659836 0.430513 0.612128 1.324469 0.420081 -1.670986 -0.105242 0.735645 0.047817 -1.983286 -0.882433 -1.805956 -0.021015 -1.437156 -0.14247 -0.066537 -0.615052 -0.783981 -0.884212 -0.014876 -0.067139 1.254956 0.15287 0.007794 0.086609 -0.443107 -0.744577 -1.97231 -1.905797 -0.419049 -0.461954 -0.429497 -1.104088 0.497171 -1.026017 -0.489045 -0.374591 0.811884 -0.640348 -0.040898
"gene32" 0.647328 1.135812 0.096354 0.22377 0.179452 0.992232 0.412604 -0.707946 -0.896322 0.870393 -0.537789 -0.808996 -0.152762 1.60116 0.213845 -1.074192 1.249678 0.635038 -0.736263 -0.882311 0.86505 0.208302 1.158601 -1.534238 1.318411 -0.635432 1.213248 -0.008246 -0.158091 0.915798 0.051309 0.803224 1.75791 0.415784 1.272344 -0.223138 -0.277053 0.743616 0.464721 1.18666 2.286062 1.503155 -0.121181 -0.507524 2.129318 -0.682213 1.226613 -1.115805 1.351009 -1.816766 -1.217162 -1.226829 -1.303254 0.324229 1.274137 -0.453086 -1.397034 0.792858 -0.178319 -1.135396 0.49945 -0.851202 -0.454211 -1.245619 -1.46757 -0.527013 -0.701983 -0.317517 -0.67296 -0.856999 -1.290409 -0.247134 -1.039379 -1.472211 -1.901656 0.537053 0.415261 -0.138577
"gene33" 0.695531 0.288586 -1.961185 -0.408106 -0.971267 -0.680315 -1.385735 -0.597899 -0.763033 -1.046459 0.125652 1.410588 -2.6391 -0.508294 1.170932 -1.078323 -0.378338 -1.614754 -0.950274 0.253584 -0.087537 -0.632293 -0.662484 0.079425 0.96871 -0.967151 -1.402109 -0.729603 -1.197663 -1.559648 -1.303351 -0.797556 0.753757 0.979129 -0.242059 -0.652158 0.803293 1.121658 0.756284 0.687187 -0.08263 -0.550016 0.673705 -0.05429 -1.020527 -0.8915 1.015771 1.269302 0.086839 1.807387 -0.363182 3.238979 0.086953 0.190169 0.338278 0.41332 0.446357 0.805521 1.188848 -0.363932 -0.236455 -0.508057 0.243522 0.55371 0.80002 1.703228 1.253712 -0.441742 -0.472641 -0.147926 -0.157015 0.922047 -0.840966 1.247573 0.420276 0.40505 1.883902 0.258791
"gene34" -0.789996 0.083078 0.069814 -0.011529 -0.681413 -0.444945 -1.375943 1.296134 -0.121838 -0.943198 0.323017 0.334543 -0.502008 -1.273137 1.076859 0.157081 -1.166719 -1.621336 -1.790255 0.447489 -1.36175 -0.790589 -1.79936 -0.219124 0.456234 -1.031551 -1.018121 -1.395064 -0.787501 -1.692064 -2.243649 0.259367 0.011024 1.374583 -0.177097 -0.457884 0.742082 0.624707 -0.369499 0.980014 0.702997 -1.556888 1.181253 0.384054 -0.834578 -0.676931 -0.33101 1.5143 1.209525 0.629577 -0.458037 -0.365255 -0.060354 -1.570292 0.405293 -0.592467 1.604653 0.225231 0.699176 -0.129588 0.911905 1.016982 0.303729 0.155026 0.419952 2.068378 0.904073 2.272593 0.30596 1.202578 1.119611 0.817087 -0.858246 -0.046411 0.444104 2.063883 0.161017 0.586667
"gene35" 1.133961 0.918337 -0.164592 -0.374964 -0.291796 2.527257 0.056273 0.576892 0.543258 1.261677 1.269391 -0.490554 0.149134 1.649184 -0.290017 1.659281 1.152424 0.471384 0.713439 -1.179042 0.947895 0.839555 1.513438 -1.178756 0.033863 0.752863 0.087068 -0.391733 0.396789 0.91219 0.487862 0.122128 0.57058 1.880338 -0.340714 0.858953 -0.440508 -0.539216 0.438561 -0.576292 -0.215058 0.696254 -1.330621 -1.722133 -0.74299 0.256382 -0.695349 -1.399178 0.039413 -1.880088 0.091311 1.303172 -1.546159 0.819522 -0.45892 -0.550094 -1.254907 0.632535 -1.835053 1.755412 -0.309204 -0.542514 0.189049 -1.354401 -0.436101 -0.856673 -1.461736 -0.709725 -0.656004 1.021338 -1.30507 0.575325 -0.202355 -0.461845 -1.825653 1.006552 -1.122107 -1.178118
"gene36" -0.637898 0.188444 -1.214572 0.360833 0.259553 -0.140079 -0.921878 -0.104284 -0.641348 0.167361 1.066068 0.616243 -0.508111 -1.767064 2.403449 0.245258 -2.386936 -1.368164 -1.872729 0.690248 -2.569225 -0.01384 -2.315837 1.141107 -0.428905 -0.307439 -1.348329 -0.700376 -0.283737 -0.757571 -0.911435 0.484986 -0.776881 0.481643 -0.422305 -0.58432 0.144027 0.818938 -0.614917 0.723303 -0.348559 -1.384058 -0.13964 0.655223 -0.528046 -0.889363 -0.309888 1.814529 1.199563 1.346813 0.143542 -0.958254 0.711609 0.079769 -0.725262 0.976767 2.333681 0.788373 -0.203919 0.181062 0.103947 0.572454 1.110594 1.370815 0.794169 1.28081 0.473397 0.208037 0.99444 -0.446176 1.425648 1.091514 -0.517019 0.721479 -0.424532 0.304671 -0.109714 0.108244
"gene37" -1.476425 -0.156036 0.502504 -0.00947 -0.556968 -0.686187 -2.170305 1.173205 -0.631962 -0.122206 0.457781 1.154393 1.061083 -1.145759 0.713872 0.474322 -0.858128 -1.393162 -0.971399 1.515377 -1.174713 -0.712073 -1.665203 1.120397 -0.32031 -0.408678 -1.248178 -1.033091 -1.637775 -3.059259 -1.223769 0.095474 -0.211387 0.755348 0.419496 -0.444596 0.150516 0.069663 -0.388712 0.906625 -0.100881 -2.884785 0.294062 0.855796 0.197409 -0.543807 0.556887 0.981303 0.964312 1.65505 0.021256 0.048887 0.667232 -1.285897 -0.169731 -0.016577 1.353233 0.888516 0.652715 -0.164355 -0.70923 1.023923 -0.253108 1.276163 1.227056 0.833584 1.237911 0.856372 0.373885 0.05421 1.185017 0.650478 -0.953264 0.997479 0.275315 0.474191 -0.228468 0.843554
"gene38" 1.295734 1.935524 0.895993 -0.345799 0.719562 1.745275 -0.176039 -0.293979 0.812113 1.053518 -0.468196 -0.607631 -0.418501 1.387854 0.819889 -0.53297 1.287249 -0.778541 1.584912 -0.78526 -0.27264 -0.039914 1.809033 -1.409179 0.588683 1.023029 1.420112 0.331482 -0.048094 0.35675 -0.005485 1.554482 0.858745 0.590635 -1.060426 0.738594 -0.432177 0.214812 1.509535 -0.637901 0.489261 -0.028948 -0.751538 -0.991633 -0.053576 0.296016 0.902428 -1.549176 0.954871 -1.101623 -0.303369 -0.975528 -2.302696 -0.184782 -0.364877 0.874209 -2.073245 -0.090497 -0.334257 0.400729 0.62014 -1.549289 -1.154864 -1.687212 -1.066093 -0.321287 -1.93061 -1.192383 0.021357 0.728414 -0.676767 1.262583 -0.650028 -1.148751 -1.385656 0.373941 0.281688 0.442266
"gene39" -0.837549 -1.266219 -0.153723 -1.084037 -0.793989 -0.771295 -0.339663 1.969811 0.240439 -0.748319 -1.089982 0.826051 -0.404216 -0.521569 -1.07832 -1.025124 -0.297036 -0.710437 -0.623227 0.747164 -1.01562 -0.978311 -0.149321 1.383252 -0.778817 -0.448536 -0.994316 0.222316 0.080037 -1.351514 -0.009989 -0.894019 -0.825236 -0.467239 0.082583 0.254551 0.01056 -0.615977 -0.114841 -0.656953 -0.358684 -0.471045 -0.640768 1.779126 -0.775097 -0.429116 1.84726 1.743258 -0.752439 1.683865 -0.669876 -0.636199 2.13628 -0.147538 -0.971858 1.24572 1.201441 -0.275143 -0.160439 0.013837 0.829591 -0.913041 -1.024875 1.950062 0.739196 0.440495 1.420731 1.816787 1.151381 -0.133976 0.482609 -0.813544 -0.108682 2.016351 2.855039 -0.307933 -0.596609 0.062463
"gene40" -1.196942 -0.281644 -1.531411 0.42331 -0.020392 -0.730218 -0.746044 0.679102 -1.139406 -0.335849 0.231676 1.249853 -0.654188 0.566484 -0.628077 0.298947 -2.072914 -2.454685 -0.92863 1.029534 -2.597647 0.11982 -1.859819 1.291537 -0.632013 -0.642812 -1.071025 -0.681839 -0.184707 -1.198481 -0.57024 -0.048363 -0.30715 0.582429 0.442055 0.112141 1.767909 1.198604 -0.916504 0.645839 -0.743251 -2.012276 -0.047341 0.690454 -0.287856 -0.468791 -0.231015 1.470794 1.32204 1.204705 0.343625 -0.633113 1.001654 0.23395 -1.510452 1.475355 1.980565 1.035317 0.457595 -0.145502 -0.045228 0.326121 0.870803 1.130589 0.621447 1.186863 0.509028 0.484049 1.045806 -0.871292 1.294227 0.802018 -0.774496 0.710316 -0.030626 0.535732 0.297224 -0.437277
"gene41" 1.693431 0.176266 0.3715 0.366528 -1.045667 1.396588 0.732698 0.234294 0.945557 -0.042369 0.845312 -0.709186 2.87886 1.226257 -0.386802 0.234619 -0.215882 -0.147747 0.712702 -1.022424 0.707151 0.811276 1.366414 -1.380056 -0.219893 -0.644217 0.841277 0.193969 1.07472 1.157894 0.23931 0.553201 0.499544 -0.03483 1.003015 0.062088 0.502704 -1.212339 0.109623 0.72502 1.479301 0.814762 0.105994 -2.133728 -0.404375 1.142026 -0.89024 -0.700096 -1.428253 -1.179907 -0.97685 0.718651 -0.953514 -0.21739 0.87584 -0.342029 -1.341465 0.15867 -1.226551 0.608501 -0.334092 0.694736 1.955685 -1.248309 -1.424069 -1.460357 -1.100039 -0.767777 0.176092 0.743818 -0.349639 -1.456689 -0.592182 -1.503254 -1.94498 -1.229116 0.677518 0.452902
"gene42" -1.40058 -0.13677 -0.327239 -0.113675 -1.032231 -0.589816 -2.067892 0.471721 -0.391335 -0.318215 0.697232 0.951176 1.003787 -1.566762 1.787434 0.753242 -1.057675 -1.744756 -1.554083 1.179661 -1.639893 -0.743483 -1.391789 0.67478 -0.562808 -0.494338 -1.812705 -1.270352 -0.23196 -1.783777 -1.399775 0.180485 0.237592 1.279788 0.785495 -1.162616 0.487423 0.386209 -0.651927 1.10396 0.019441 -2.787139 0.451055 0.970156 0.120283 -0.905217 1.397512 1.364339 0.436841 0.999963 0.208009 -0.294702 0.17069 0.110234 0.33363 0.237388 1.123135 1.281951 1.153365 -0.140816 -0.784994 0.167235 -0.437229 0.442519 0.706425 1.235065 1.554585 0.832935 0.506125 -0.469753 0.941703 0.665881 -0.81187 0.70503 -0.087126 0.395415 0.578523 1.07588
"gene43" -0.101212 -0.197087 0.506456 -1.118745 -0.563326 1.004092 1.065636 -1.050239 0.696758 0.506156 0.251433 -0.529281 1.326331 1.406773 -0.18865 -0.799722 1.955683 0.525159 1.668725 -0.876911 1.14125 0.378882 1.836656 -0.068724 -0.049377 -1.023396 1.309613 -0.110946 0.894618 1.05585 0.344209 -0.058421 -0.027399 -0.402316 0.914999 1.19455 0.022459 0.690117 0.454441 0.120107 -0.30489 2.077633 -0.640378 -0.425837 0.863486 1.107004 1.416692 -0.650201 -0.853529 -0.911989 0.068945 -0.983921 -1.591403 -3.078513 -1.020341 -0.82576 -0.600815 0.198968 -1.062182 0.108162 -0.525477 1.170784 -0.448409 -1.409816 -0.813982 -1.517118 -1.002117 -0.499815 -0.290711 -0.606222 -0.444026 1.635344 -1.692975 -0.094915 -1.480311 1.118104 0.679628 -0.774293
"gene44" 1.127502 -0.796971 0.082618 -0.145126 -0.086066 2.159763 -0.447751 1.3654 -0.228739 0.408153 -0.296136 -0.450809 0.350845 0.990497 -0.37809 -0.137661 0.704972 0.293417 1.748921 -1.617177 -0.102892 0.938797 -0.409886 -0.378241 -0.937655 0.220664 1.317147 -0.644293 0.266422 0.368698 1.820262 1.730219 1.912355 2.083633 1.239814 -1.519006 0.675357 0.173707 -0.858126 0.460436 0.417051 0.085088 0.92396 0.377114 0.277339 -1.271456 -0.760117 -1.056463 0.254661 -0.701877 -1.301288 -0.213121 -0.615411 1.331748 0.819825 -1.722994 -1.075716 -0.948206 -1.26207 1.413621 0.526721 -0.767368 0.599911 -0.615135 -1.439694 -0.675372 -1.245255 -0.8084 -0.237618 0.290433 -0.968414 -0.716814 -2.02042 -1.194583 -0.3782 -0.698831 1.906391 0.465987
"gene45" -0.742477 -0.595658 -0.814671 2.003937 -0.431228 -1.475036 -2.051192 0.810213 -0.429852 -1.371284 0.909889 0.699085 0.099334 -0.720966 2.147062 0.505124 -0.662606 -1.293868 -0.583565 0.97329 -1.034113 -0.551799 -1.604895 0.838436 -0.794095 -1.181984 -1.319306 -0.243529 -1.096339 -1.769806 -1.248957 0.208467 -0.448261 0.461198 0.87255 -0.337839 -0.745838 -0.198421 -0.631387 0.919725 -0.361274 -1.153051 -0.171124 -0.112521 -0.324874 -1.202201 -0.748625 1.471718 0.771613 1.808048 -0.337951 0.923563 0.530841 -0.269377 -0.206897 1.168011 2.097541 1.371736 0.27241 -0.786775 0.09799 1.07184 0.19716 -0.171714 2.382779 1.139334 0.167307 1.314812 -0.521762 -0.019858 0.296764 0.541315 -0.593765 1.426507 -0.101082 -0.749352 0.654755 1.056823
"gene46" -0.528099 0.536141 0.099331 -0.693318 -0.821265 0.339589 0.578165 -0.80711 -0.214401 -0.179134 -0.668218 -0.390182 0.574766 1.319122 0.431244 -1.76263 0.681441 0.12231 0.532924 -1.857674 1.187393 0.392522 0.464771 -0.152877 0.818887 -1.164881 1.263693 0.246077 0.875613 0.52218 0.314723 -0.096629 1.670782 1.865453 2.076972 2.77256 1.444036 0.787144 -0.334649 0.684928 0.369894 1.570811 -1.056246 0.87853 2.650312 1.617927 1.052019 -0.782397 -0.099313 -1.674275 -0.128313 -0.238308 -0.677347 -0.206102 0.455491 -0.317802 -0.58072 -0.746493 -1.190235 -1.115282 -0.302961 -0.621507 -0.346975 -1.179483 -0.996419 -1.188601 -0.298403 -1.32197 -1.247955 -0.545298 -0.239424 -1.504372 -0.692704 -0.902715 -0.456656 -0.205553 0.139215 -0.80207
"gene47" -0.418225 0.512934 -0.480468 -0.958196 -1.084084 -1.647977 -0.196206 0.121212 -0.696475 -1.390568 -0.41974 1.214855 -0.797983 -1.211915 -0.962857 -0.334454 0.34517 -0.902015 -0.571042 0.671071 -0.830408 -1.477249 -0.555364 0.536831 0.170582 -0.364981 -0.984884 -0.18981 0.579439 -0.255277 0.093009 0.603202 0.210491 -1.090631 -1.146173 -0.353532 -0.703347 0.561088 -0.086875 0.14966 -0.743193 0.425704 -0.705165 0.698223 -0.732861 1.730004 0.782255 0.718789 -2.016097 1.756281 1.071685 -0.080569 1.204513 -0.287077 -0.869657 -0.184062 1.035655 0.680852 1.837945 -0.987646 -0.730882 -0.384317 -0.258044 -0.229493 0.916245 1.962949 1.628716 1.290835 2.139396 0.048521 3.088421 -0.035339 -0.121947 1.946914 0.473232 -0.481439 -1.060687 -1.187466
"gene48" -0.90276 -0.412334 -1.723642 0.815795 0.628563 -1.476487 -1.143519 0.68118 -1.992515 -1.130987 -0.242131 0.895899 -1.014943 -0.983864 1.355247 0.653956 -2.164376 -0.177268 0.182245 1.25426 -1.245378 0.875081 -0.874207 0.894379 -0.704925 0.297174 -1.324784 -0.611006 -1.385277 -0.325953 0.007977 0.453032 -1.001681 -1.343211 -1.009485 -0.710994 0.847772 1.126791 -0.688229 0.958489 -1.268762 -0.712785 -0.294669 0.282989 0.185971 -0.394587 -1.468218 1.266622 0.286442 0.822941 -0.482814 0.515981 0.611321 0.936519 -0.883229 0.236393 1.742771 -0.274789 0.616192 -1.136627 2.357087 0.186905 1.724361 0.858122 0.36083 0.030116 0.765075 -1.056088 1.944036 0.655444 1.208209 0.369822 -0.040956 0.442286 -0.210356 -0.057974 1.143088 1.394449
"gene49" -0.362783 0.675835 -0.322165 0.543859 0.317408 -0.765835 -0.438156 1.379408 0.023733 -0.433758 -0.980531 -1.161689 -0.585604 -0.91429 -0.401573 0.322613 -0.563266 -1.146054 -0.082114 0.600991 -0.65611 -0.343979 -0.859502 -0.752105 -0.39212 -1.246436 -0.427031 -0.289911 -1.063067 -0.583632 -0.793936 0.39851 -0.805452 2.956537 -0.5036 -0.007385 -0.651498 -0.380278 -2.148842 -0.778027 -0.500813 -0.601698 0.298832 -0.225303 -0.195935 -1.399783 0.006185 0.904816 -0.160097 1.008577 0.387855 0.25702 0.163283 0.718736 0.068013 0.842322 4.191966 0.245003 -0.732871 0.412694 0.694351 3.322267 -0.007889 1.117812 0.143773 0.159288 0.535385 0.079648 0.882812 1.570276 0.441116 0.357562 -0.656144 -0.896544 -0.58047 -0.359013 -0.514048 1.642854
"gene50" 1.027739 0.223685 -0.251611 0.230137 -1.032687 0.441631 0.26842 -0.390696 -0.896674 1.065695 -0.931426 1.478615 -0.364932 1.827485 0.154957 -0.970996 0.909838 1.179158 0.110505 -1.332112 0.612015 0.926409 2.331393 0.318326 0.042735 1.120647 1.888499 0.191088 1.8207 -0.065788 1.328289 0.350089 0.776004 0.802466 -0.816131 0.395638 1.074511 0.636611 0.337972 -1.687722 -0.552524 2.021533 -1.25025 -0.699817 -0.838839 0.156393 0.150423 -0.434942 2.223183 -0.308377 -1.392969 -1.581853 -0.132387 1.235178 -1.26254 0.618042 -1.171967 0.395224 -1.246443 -0.710535 0.764442 -0.862196 0.275761 -0.649223 -0.875794 -0.574216 -0.54868 -0.542627 -1.47031 0.752731 0.226767 -1.192721 -1.329701 -0.63686 -0.811608 -1.225867 -0.678676 -0.968242
"gene51" -1.136801 0.601089 -1.087361 0.846845 -0.063647 -1.228539 -1.512711 1.042233 -2.07856 -0.908639 0.80275 0.044848 -0.208648 -0.886552 0.582589 -0.318397 -1.021083 0.222582 -0.818298 0.489828 -1.258303 -0.07004 -1.044463 -0.169869 -0.128733 -0.12975 -0.580825 -0.540715 -2.797734 -0.571741 -0.360167 0.856316 0.194668 0.48517 -0.27581 0.228722 -1.829879 1.379033 -0.199973 1.064018 0.174061 -1.167891 -0.181497 -1.063964 1.076324 -1.46058 0.071876 -0.18878 2.185423 1.803463 0.280103 0.342129 -0.422496 -0.050361 -0.119123 2.177084 2.202406 -0.167113 0.041043 -0.370124 0.699379 0.118332 0.657616 1.020735 0.7585 1.861657 0.288808 2.077277 -0.07033 -0.22911 -0.849034 0.297244 -0.16782 -0.140637 0.84906 1.616821 -0.379101 -1.184834
"gene52" 1.214008 1.857686 0.109877 -0.153577 -0.984126 2.916872 -0.013944 0.229784 1.209042 0.19381 -0.060415 -0.754746 0.39718 3.526736 -1.378676 -0.201309 1.222043 0.765368 -0.366701 -0.628262 0.180353 0.324676 2.307557 -0.850041 0.473052 -0.340099 1.030501 1.484807 0.491986 0.9914 1.084297 1.671133 0.252975 -0.739576 -0.642686 0.203634 0.30475 -0.690902 -0.456399 -0.208527 0.011349 0.110528 -0.511994 -0.9893 1.353556 -0.354215 -0.581388 0.014281 0.348806 -0.996509 0.732633 0.316544 -0.881926 -2.297385 0.63247 -0.163471 -0.495377 -0.940063 -0.848438 -0.159771 -1.190584 0.018462 0.742112 -1.350334 -0.601267 -0.493822 -0.458219 -0.474184 -1.060672 0.665228 0.199553 -1.113401 -0.579755 -0.534534 -1.119086 -0.729475 -0.729462 -1.464432
"gene53" -1.225841 -0.537727 -0.236887 0.865892 -1.119827 -1.272945 -1.551574 0.443553 -0.723424 -1.272159 0.577421 1.442732 0.444761 -1.378031 1.945078 0.467639 -0.634874 -1.702433 -1.179994 0.966541 -0.259061 -1.197464 -1.478928 1.286934 0.155486 -1.406066 -0.759019 -0.991838 -1.176267 -1.770327 -1.365879 -0.420889 -0.115658 0.304836 0.826458 -0.852715 -0.061917 -0.445241 0.622771 1.383513 -0.268371 -2.220968 -0.018572 1.325057 -0.092956 -0.662679 -0.514246 1.161971 0.559353 1.829442 0.359948 0.700298 0.460715 -0.438949 -0.49892 0.874451 1.472138 1.027777 0.332022 0.191476 -0.658672 1.714885 -0.212425 0.794639 1.432348 0.256685 0.228597 0.602014 0.581621 -0.274568 0.482128 1.257534 -0.962621 1.040125 -0.452672 -0.724612 1.272659 1.446717
"gene54" -0.459466 -0.519335 1.441645 -0.212077 -1.106828 1.373079 1.704679 -1.519156 1.018616 0.340864 0.847193 -1.08891 1.27915 0.315477 -0.026332 -0.371481 1.474738 -0.028597 -0.063467 -0.696185 1.984083 -1.259728 1.747767 -1.069724 1.020409 0.216291 2.480963 0.422243 1.69488 0.383965 0.549531 0.554542 1.869617 -0.606115 0.730826 -0.513053 0.474141 0.01402 0.777334 -0.371497 -0.482165 1.014261 -0.255396 -0.511243 1.661416 0.357829 -0.278376 -1.065587 0.078048 -1.60626 -0.742024 -0.481425 -1.756528 0.407064 1.276567 -0.755645 -1.426301 -1.633889 0.05767 -1.505381 0.035222 0.075056 0.399746 -0.404221 -1.090918 1.05645 -1.180002 -1.463244 -0.188206 0.480433 -0.577242 -0.018243 -0.410796 -1.048859 -1.263829 -0.612526 -0.213924 -0.731636
"gene55" -0.440398 -1.247739 -1.646321 -2.831444 0.757982 -1.131219 -1.136769 -0.980345 -0.696925 0.237735 0.777538 1.860224 0.176109 -0.715962 -1.62345 0.073811 0.186495 0.727609 0.489543 -0.234908 -1.150806 -1.148521 -0.575424 1.404185 -0.192112 -0.182178 -1.218728 -0.628786 1.629 -2.016727 0.352521 -0.186589 -1.580237 -0.524831 0.560273 0.725858 -1.068441 -0.152488 -0.430989 -0.240633 -0.849539 -0.924994 -0.13394 1.415309 0.572366 0.68327 1.379865 0.995305 -0.735366 1.619427 -0.039146 -0.935392 1.244418 0.12917 -0.506783 -0.542758 -0.230306 -0.432779 0.274531 0.040831 0.033942 0.84075 0.316356 0.79885 0.206055 -0.966107 2.689933 0.695483 0.802385 0.741049 1.073113 2.110133 -0.366373 0.752342 0.984189 -0.516879 0.357508 0.447873
"gene56" 1.498719 0.803144 0.935379 -0.76295 -0.278014 0.797693 0.58244 -1.079652 0.362178 1.968399 0.142289 -0.963034 -0.236571 1.667945 -0.545514 -0.881043 -0.156147 1.234174 0.119391 -1.189983 1.134438 0.070374 1.962035 -1.024883 0.880221 1.509173 0.605362 0.207867 0.64622 0.730413 0.725965 1.168609 0.220487 0.806408 -0.21653 -0.339328 0.296187 0.231394 0.54422 0.206204 0.056478 0.563257 0.92988 -1.431663 1.41874 -0.225277 -1.4027 -1.005792 -1.167637 -1.347427 -0.866604 -0.742366 -0.543328 0.445145 1.24233 -0.879413 -0.915777 -0.011936 -0.524915 -0.292242 1.938034 -1.096298 0.313071 -0.228565 -0.64802 0.456466 -0.195924 -2.112071 -0.286289 1.180459 -0.903044 -0.192072 -0.452775 -1.18441 -1.925895 -1.283576 -2.517184 1.45566
"gene57" -0.658285 -0.430465 -1.761789 0.309541 0.332467 0.327146 -0.310487 0.896186 -0.616205 0.258742 -0.038747 0.693496 0.966932 -0.828053 -1.793924 0.124938 -0.082127 -1.528386 1.176632 0.883815 0.908578 -0.838547 -0.435994 0.176165 -1.152848 -0.494501 -0.106807 -0.532806 -1.574677 -0.131791 -0.181843 -0.186686 -1.374966 -1.233719 -1.252321 -3.375316 -0.529542 -1.208254 0.112341 -3.3e-05 0.49619 -0.487166 0.386269 0.642198 -0.410963 0.056855 -0.676994 1.208912 1.242895 0.246052 0.878614 -0.400276 0.98456 0.338819 -0.156643 -0.80948 1.662391 -0.379167 -0.596022 0.24355 1.490229 0.676566 -1.309167 0.81323 1.434929 -1.13569 1.085811 -0.181654 -0.326201 0.981769 0.369639 0.245001 -0.226735 -0.006929 2.314001 0.25097 2.173948 2.371828
"gene58" -0.88116 -1.401537 -0.559741 1.082095 -0.637423 -0.143852 -1.132565 -0.640693 -0.061161 -0.530316 -0.85476 0.522001 1.697345 -0.81507 0.029666 -0.762115 -0.604273 -0.588747 0.104996 -0.749465 -0.041127 0.341337 -0.091513 -0.189054 -1.250807 -0.105435 -0.807173 0.06527 0.901287 -1.211146 -1.099879 -0.681303 -1.600727 0.06074 -0.527146 2.343589 0.212722 -0.763692 -0.663647 -0.337543 -0.391953 -0.328551 -0.832385 -0.519868 -0.32372 1.299847 0.449898 0.85571 -1.054686 0.65534 2.204979 0.128717 0.818574 -0.30725 -0.804113 0.385875 -0.26255 -0.778132 -0.495367 -0.264855 2.498449 0.039201 3.889771 -0.480984 -0.101 1.570429 0.368773 0.944676 0.890926 -0.160929 1.662158 -0.184784 0.998664 0.693603 -0.865911 -0.929913 -0.618073 1.721457
"gene59" 0.20381 -0.931375 0.337315 0.010737 -1.410829 0.341802 0.373166 -0.136442 0.84606 0.989974 0.880182 -0.084199 1.726981 1.085668 -0.304062 -0.650725 -0.373014 -0.065674 2.026684 -0.901458 1.088426 -0.137519 -0.227642 0.120886 0.12059 -1.384013 0.150182 0.242036 2.042422 0.000179 0.73244 0.560424 0.048829 1.485819 0.703291 0.692836 0.737844 -0.307947 -1.572742 1.827988 1.319227 1.500514 0.547992 0.174975 2.058805 2.364224 1.035083 -0.863293 -0.412521 -1.395044 -1.060986 -0.163507 0.239213 -0.219229 -0.051995 -2.035745 -0.87701 0.39836 0.179565 0.689763 0.355704 -0.661387 0.089245 -0.45324 -1.546907 -0.612908 -1.394023 -1.77228 -0.845545 -0.355295 0.058941 -1.827686 -0.895973 -0.503635 -1.680979 -0.388237 -0.995307 -0.88781
"gene60" 2.25242 0.451796 0.785618 -0.58812 -1.253315 0.679433 0.576194 -0.730986 -0.137554 1.631087 -0.651289 2.561769 -0.582615 2.510672 -0.840277 -0.281941 1.211963 0.003728 0.53272 -1.070168 1.065955 -0.336522 2.112889 -0.018355 0.501347 0.520658 0.712838 0.298544 2.149568 0.48148 0.658404 0.277404 1.089664 0.580552 0.021759 0.45372 0.169025 0.193804 -0.722059 -1.419394 -0.298605 0.417027 -0.941145 -0.60522 0.519515 1.798992 0.958975 -0.866927 -0.724963 -1.029055 -0.367375 -1.584769 -0.840467 -0.102056 0.972685 -0.494514 0.717348 -0.427283 -0.838935 -0.823585 -0.91376 -1.544126 -0.24853 -0.708738 -1.040543 -1.361631 0.025798 -1.208852 -1.519129 -0.273615 0.565746 -0.806702 -0.259394 -0.026207 -1.216615 1.195806 -0.904649 -1.046919
"gene61" -1.257073 -0.129909 0.472153 0.332019 -1.066173 -0.73507 -1.91985 0.862004 -0.13962 -0.235415 0.481199 0.958335 1.387257 -1.404399 0.646433 0.888016 -1.050828 -1.791738 -1.624063 1.706697 -1.481293 -1.036604 -1.765613 1.093957 -0.434412 -0.306549 -1.698832 -1.093351 -0.437977 -1.729977 -1.510846 -0.109237 -0.216826 0.953825 0.707663 -0.999566 -0.132672 -0.190535 -0.323753 1.573779 -0.377947 -2.56095 0.901048 0.387626 0.198203 -0.920483 0.700631 1.521133 0.737643 1.324741 -0.097831 -0.20894 0.53915 0.110565 0.076835 0.173907 1.376501 1.010977 0.614561 -0.25378 -1.051598 1.153488 -0.15372 1.024664 1.04186 1.669574 0.758082 0.569583 0.137379 -0.319852 1.202449 0.314218 -1.070728 1.006705 0.1409 0.122662 0.130391 0.829203
